decision_id,location,title,date,company,decision,extras,tag
DRN0123241,decision/DRN0123241.pdf,Decision Reference DRN0123241,31 Mar 2020,China Taiping Insurance (UK) Co Ltd,Upheld,,Insurance (excluding PPI)
DRN8740818,decision/DRN8740818.pdf,Decision Reference DRN8740818,31 Mar 2020,AWP P&C SA,Upheld,,Insurance (excluding PPI)
DRN3156034,decision/DRN3156034.pdf,Decision Reference DRN3156034,31 Mar 2020,Advantage Insurance Company Limited,Upheld,,Insurance (excluding PPI)
DRN6416454,decision/DRN6416454.pdf,Decision Reference DRN6416454,31 Mar 2020,Royal & Sun Alliance Insurance Plc,Not upheld,,Insurance (excluding PPI)
DRN6077172,decision/DRN6077172.pdf,Decision Reference DRN6077172,31 Mar 2020,Astrenska Insurance Limited,Not upheld,,Insurance (excluding PPI)
DRN0068283,decision/DRN0068283.pdf,Decision Reference DRN0068283,31 Mar 2020,Europa Group Limited,Upheld,,Insurance (excluding PPI)
DRN9820352,decision/DRN9820352.pdf,Decision Reference DRN9820352,31 Mar 2020,Acromas Insurance Company Limited,Upheld,,Insurance (excluding PPI)
DRN0682389,decision/DRN0682389.pdf,Decision Reference DRN0682389,31 Mar 2020,Red Sands Insurance Company (Europe) Limited,Not upheld,,Insurance (excluding PPI)
DRN9230475,decision/DRN9230475.pdf,Decision Reference DRN9230475,31 Mar 2020,Amtrust Europe Limited,Not upheld,,Insurance (excluding PPI)
DRN1965424,decision/DRN1965424.pdf,Decision Reference DRN1965424,31 Mar 2020,Western Provident Association Limited,Not upheld,,Insurance (excluding PPI)
DRN2053929,decision/DRN2053929.pdf,Decision Reference DRN2053929,31 Mar 2020,Admiral Insurance Company Limited,Upheld,,Insurance (excluding PPI)
DRN2916463,decision/DRN2916463.pdf,Decision Reference DRN2916463,31 Mar 2020,Assurant General Insurance Limited,Upheld,,Insurance (excluding PPI)
DRN-1699432,decision/DRN-1699432.pdf,Decision Reference DRN-1699432,31 Mar 2020,Tesco Underwriting Limited,Upheld,,Insurance
DRN9217240,decision/DRN9217240.pdf,Decision Reference DRN9217240,31 Mar 2020,QIC Europe Ltd,Not upheld,,Insurance (excluding PPI)
DRN2827000,decision/DRN2827000.pdf,Decision Reference DRN2827000,31 Mar 2020,Advantage Insurance Company Limited,Not upheld,,Insurance (excluding PPI)
DRN8076967,decision/DRN8076967.pdf,Decision Reference DRN8076967,31 Mar 2020,Covea Insurance plc,Not upheld,,Insurance (excluding PPI)
DRN2393686,decision/DRN2393686.pdf,Decision Reference DRN2393686,31 Mar 2020,UK Insurance Limited,Not upheld,,Insurance (excluding PPI)
DRN0702734,decision/DRN0702734.pdf,Decision Reference DRN0702734,31 Mar 2020,Simply Insurance Services Limited,Upheld,,Insurance (excluding PPI)
DRN1007825,decision/DRN1007825.pdf,Decision Reference DRN1007825,31 Mar 2020,Red Sands Insurance Company (Europe) Limited,Not upheld,,Insurance (excluding PPI)
DRN4076582,decision/DRN4076582.pdf,Decision Reference DRN4076582,31 Mar 2020,Inter Partner Assistance SA,Not upheld,,Insurance (excluding PPI)
DRN0986348,decision/DRN0986348.pdf,Decision Reference DRN0986348,31 Mar 2020,Sabre Insurance Company Limited,Not upheld,,Insurance (excluding PPI)
