decision_id,location,title,date,company,decision,extras,tag
DRN-3992924,decision/DRN-3992924.pdf,Decision Reference DRN-3992924,30 Sep 2023,Aviva Insurance Limited,Not upheld,,Insurance
DRN-4376587,decision/DRN-4376587.pdf,Decision Reference DRN-4376587,30 Sep 2023,Scottish Widows Limited,Upheld,,Insurance
DRN-4323792,decision/DRN-4323792.pdf,Decision Reference DRN-4323792,29 Sep 2023,U K Insurance Limited,Not upheld,,Insurance
DRN-4371848,decision/DRN-4371848.pdf,Decision Reference DRN-4371848,29 Sep 2023,Society of Lloyd's,Not upheld,,Insurance
DRN-4212847,decision/DRN-4212847.pdf,Decision Reference DRN-4212847,29 Sep 2023,Ageas Insurance Limited,Not upheld,,Insurance
DRN-4344886,decision/DRN-4344886.pdf,Decision Reference DRN-4344886,29 Sep 2023,Sainsbury's Bank Plc,Upheld,,Insurance
DRN-4365958,decision/DRN-4365958.pdf,Decision Reference DRN-4365958,29 Sep 2023,Hiscox Insurance Company Limited,Not upheld,,Insurance
DRN-4336838,decision/DRN-4336838.pdf,Decision Reference DRN-4336838,29 Sep 2023,Hugh J. Boswell Limited,Not upheld,,Insurance
DRN-4344280,decision/DRN-4344280.pdf,Decision Reference DRN-4344280,29 Sep 2023,West Bay Insurance Plc,Upheld,,Insurance
DRN-4365380,decision/DRN-4365380.pdf,Decision Reference DRN-4365380,29 Sep 2023,Zurich Insurance PLC,Not upheld,,Insurance
DRN-4370243,decision/DRN-4370243.pdf,Decision Reference DRN-4370243,29 Sep 2023,The National Farmers' Union Mutual Insurance Society Limited,Upheld,,Insurance
DRN-4122854,decision/DRN-4122854.pdf,Decision Reference DRN-4122854,29 Sep 2023,QIC Europe Ltd,Not upheld,,Insurance
DRN-4255410,decision/DRN-4255410.pdf,Decision Reference DRN-4255410,29 Sep 2023,Domestic & General Insurance Plc,Not upheld,,Insurance
DRN-4375669,decision/DRN-4375669.pdf,Decision Reference DRN-4375669,29 Sep 2023,esure Insurance Limited,Upheld,,Insurance
DRN-4256308,decision/DRN-4256308.pdf,Decision Reference DRN-4256308,29 Sep 2023,Society of Lloyd's,Not upheld,,Insurance
DRN-3763939,decision/DRN-3763939.pdf,Decision Reference DRN-3763939,29 Sep 2023,Aviva Life & Pensions UK Limited,Not upheld,,Insurance
DRN-4365412,decision/DRN-4365412.pdf,Decision Reference DRN-4365412,29 Sep 2023,Society of Lloyd's,Upheld,,Insurance
DRN-4291249,decision/DRN-4291249.pdf,Decision Reference DRN-4291249,29 Sep 2023,Chaucer Insurance Company Designated Activity Company,Not upheld,,Insurance
DRN-4366137,decision/DRN-4366137.pdf,Decision Reference DRN-4366137,29 Sep 2023,BUPA Insurance Limited,Not upheld,,Insurance
DRN-4346034,decision/DRN-4346034.pdf,Decision Reference DRN-4346034,29 Sep 2023,Admiral Insurance (Gibraltar) Limited,Upheld,,Insurance
DRN-4296262,decision/DRN-4296262.pdf,Decision Reference DRN-4296262,29 Sep 2023,Admiral Insurance (Gibraltar) Limited,Upheld,,Insurance
DRN-4182681,decision/DRN-4182681.pdf,Decision Reference DRN-4182681,29 Sep 2023,Great Lakes Insurance SE,Upheld,,Insurance
DRN-4374908,decision/DRN-4374908.pdf,Decision Reference DRN-4374908,29 Sep 2023,Soteria Insurance Limited,Not upheld,,Insurance
DRN-4142516,decision/DRN-4142516.pdf,Decision Reference DRN-4142516,29 Sep 2023,Aviva Insurance Limited,Not upheld,,Insurance
DRN-4374483,decision/DRN-4374483.pdf,Decision Reference DRN-4374483,29 Sep 2023,Astrenska Insurance Limited,Not upheld,,Insurance
DRN-4258912,decision/DRN-4258912.pdf,Decision Reference DRN-4258912,29 Sep 2023,QBE UK Limited,Not upheld,,Insurance
DRN-4332831,decision/DRN-4332831.pdf,Decision Reference DRN-4332831,29 Sep 2023,Western Provident Association Limited,Not upheld,,Insurance
DRN-4288490,decision/DRN-4288490.pdf,Decision Reference DRN-4288490,29 Sep 2023,Lockton Companies LLP,Not upheld,,Insurance
DRN-4361652,decision/DRN-4361652.pdf,Decision Reference DRN-4361652,29 Sep 2023,Admiral Insurance (Gibraltar) Limited,Upheld,,Insurance
DRN-4373477,decision/DRN-4373477.pdf,Decision Reference DRN-4373477,29 Sep 2023,AXA Insurance UK Plc,Upheld,,Insurance
DRN-4374589,decision/DRN-4374589.pdf,Decision Reference DRN-4374589,29 Sep 2023,Accelerant Insurance UK Limited,Not upheld,,Insurance
DRN-4307693,decision/DRN-4307693.pdf,Decision Reference DRN-4307693,29 Sep 2023,Royal & Sun Alliance Insurance Limited,Not upheld,,Insurance
DRN-4342532,decision/DRN-4342532.pdf,Decision Reference DRN-4342532,29 Sep 2023,Insurance Claims Centre UK Ltd,Upheld,,Insurance
DRN-4365973,decision/DRN-4365973.pdf,Decision Reference DRN-4365973,29 Sep 2023,Rock Insurance Services Limited,Upheld,,Insurance
DRN-4208692,decision/DRN-4208692.pdf,Decision Reference DRN-4208692,29 Sep 2023,Accelerant Insurance Europe SA/NV,Not upheld,,Insurance
DRN-4023883,decision/DRN-4023883.pdf,Decision Reference DRN-4023883,29 Sep 2023,Motor Gap Limited,Not upheld,,Insurance
DRN-4373795,decision/DRN-4373795.pdf,Decision Reference DRN-4373795,29 Sep 2023,Advantage Insurance Company Limited,Upheld,,Insurance
DRN-4374573,decision/DRN-4374573.pdf,Decision Reference DRN-4374573,29 Sep 2023,Inter Partner Assistance SA,Upheld,,Insurance
DRN-4374552,decision/DRN-4374552.pdf,Decision Reference DRN-4374552,29 Sep 2023,Amtrust Europe Limited,Not upheld,,Insurance
DRN-4366612,decision/DRN-4366612.pdf,Decision Reference DRN-4366612,29 Sep 2023,Advantage Insurance Company Limited,Upheld,,Insurance
DRN-4346082,decision/DRN-4346082.pdf,Decision Reference DRN-4346082,29 Sep 2023,HDI Global Specialty SE,Not upheld,,Insurance
