decision_id,location,title,date,company,decision,extras,tag
DRN-1518735,decision/DRN-1518735.pdf,Decision Reference DRN-1518735,30 Jun 2020,AXA Insurance UK Plc,Not upheld,,Insurance
DRN-1528531,decision/DRN-1528531.pdf,Decision Reference DRN-1528531,30 Jun 2020,Advantage Insurance Company Limited,Not upheld,,Insurance
DRN-1741778,decision/DRN-1741778.pdf,Decision Reference DRN-1741778,30 Jun 2020,U K Insurance Limited,Not upheld,,Insurance
DRN0227887,decision/DRN0227887.pdf,Decision Reference DRN0227887,30 Jun 2020,Unum Ltd,Not upheld,,Insurance (excluding PPI)
DRN8549708,decision/DRN8549708.pdf,Decision Reference DRN8549708,30 Jun 2020,The Society of Lloyd's,Not upheld,,Insurance (excluding PPI)
DRN3830662,decision/DRN3830662.pdf,Decision Reference DRN3830662,30 Jun 2020,Arch Insurance (UK) Limited,Upheld,,Insurance (excluding PPI)
DRN3544359,decision/DRN3544359.pdf,Decision Reference DRN3544359,30 Jun 2020,Chadney Bulgin LLP,Upheld,,Insurance (excluding PPI)
DRN4237486,decision/DRN4237486.pdf,Decision Reference DRN4237486,30 Jun 2020,Ancile Insurance Group Ltd,Not upheld,,Insurance (excluding PPI)
DRN6939411,decision/DRN6939411.pdf,Decision Reference DRN6939411,30 Jun 2020,esure Insurance Limited,Upheld,,Insurance (excluding PPI)
DRN8762305,decision/DRN8762305.pdf,Decision Reference DRN8762305,30 Jun 2020,OVO (S) HOME SERVICES LIMITED,Not upheld,,Insurance (excluding PPI)
DRN8624814,decision/DRN8624814.pdf,Decision Reference DRN8624814,30 Jun 2020,Royal & Sun Alliance Insurance Plc,Not upheld,,Insurance (excluding PPI)
DRN-1965624,decision/DRN-1965624.pdf,Decision Reference DRN-1965624,30 Jun 2020,AXA Insurance UK Plc,Upheld,,Insurance
DRN-1653933,decision/DRN-1653933.pdf,Decision Reference DRN-1653933,30 Jun 2020,AXA Insurance UK Plc,Upheld,,Insurance
DRN-1888375,decision/DRN-1888375.pdf,Decision Reference DRN-1888375,30 Jun 2020,Covea Insurance plc,Not upheld,,Insurance
DRN-1800771,decision/DRN-1800771.pdf,Decision Reference DRN-1800771,30 Jun 2020,U K Insurance Limited,Not upheld,,Insurance
DRN-1355351,decision/DRN-1355351.pdf,Decision Reference DRN-1355351,30 Jun 2020,Admiral Insurance (Gibraltar) Limited,Not upheld,,Insurance
DRN-1419885,decision/DRN-1419885.pdf,Decision Reference DRN-1419885,30 Jun 2020,Zenith Insurance plc,Not upheld,,Insurance
DRN-1954129,decision/DRN-1954129.pdf,Decision Reference DRN-1954129,30 Jun 2020,esure Insurance Limited,Upheld,,Insurance
DRN-1957937,decision/DRN-1957937.pdf,Decision Reference DRN-1957937,30 Jun 2020,Call Assist Ltd,Not upheld,,Insurance
DRN-1968647,decision/DRN-1968647.pdf,Decision Reference DRN-1968647,30 Jun 2020,Ageas Insurance Limited,Not upheld,,Insurance
DRN-1883798,decision/DRN-1883798.pdf,Decision Reference DRN-1883798,30 Jun 2020,Admiral Insurance Company Limited,Upheld,,Insurance
DRN4188438,decision/DRN4188438.pdf,Decision Reference DRN4188438,30 Jun 2020,Covea Insurance plc,Upheld,,Insurance (excluding PPI)
DRN6424755,decision/DRN6424755.pdf,Decision Reference DRN6424755,30 Jun 2020,National House-Building Council,Upheld,,Insurance (excluding PPI)
DRN2237862,decision/DRN2237862.pdf,Decision Reference DRN2237862,30 Jun 2020,S & J Palmer Ltd,Upheld,,Insurance (excluding PPI)
DRN1857562,decision/DRN1857562.pdf,Decision Reference DRN1857562,30 Jun 2020,Fairmead Insurance Limited,Not upheld,,Insurance (excluding PPI)
DRN-1968000,decision/DRN-1968000.pdf,Decision Reference DRN-1968000,30 Jun 2020,Admiral Insurance Company Limited,Upheld,,Insurance
DRN-1426796,decision/DRN-1426796.pdf,Decision Reference DRN-1426796,30 Jun 2020,Ageas Insurance Limited,Upheld,,Insurance
DRN-1933190,decision/DRN-1933190.pdf,Decision Reference DRN-1933190,30 Jun 2020,Swinton Group Ltd,Not upheld,,Insurance
DRN-1968017,decision/DRN-1968017.pdf,Decision Reference DRN-1968017,30 Jun 2020,Amtrust Europe Limited,Not upheld,,Insurance
DRN-1967501,decision/DRN-1967501.pdf,Decision Reference DRN-1967501,30 Jun 2020,IGO4 Limited,Upheld,,Insurance
DRN-1618055,decision/DRN-1618055.pdf,Decision Reference DRN-1618055,30 Jun 2020,British Gas Insurance Limited,Not upheld,,Insurance
DRN-1579000,decision/DRN-1579000.pdf,Decision Reference DRN-1579000,30 Jun 2020,Lloyds Bank General Insurance Limited,Not upheld,,Insurance
DRN-1604299,decision/DRN-1604299.pdf,Decision Reference DRN-1604299,30 Jun 2020,Homeserve Membership Limited,Not upheld,,Insurance
DRN-1542852,decision/DRN-1542852.pdf,Decision Reference DRN-1542852,30 Jun 2020,Inter Partner Assistance SA,Not upheld,,Insurance
DRN-1701390,decision/DRN-1701390.pdf,Decision Reference DRN-1701390,30 Jun 2020,PDL Finance Limited,Upheld,,Insurance
DRN-1347661,decision/DRN-1347661.pdf,Decision Reference DRN-1347661,30 Jun 2020,Gresham Insurance Company Limited,Not upheld,,Insurance
DRN-1383791,decision/DRN-1383791.pdf,Decision Reference DRN-1383791,30 Jun 2020,Trinity Lane Insurance Company,Upheld,,Insurance
