decision_id,location,title,date,company,decision,extras,tag
DRN0887779,decision/DRN0887779.pdf,Decision Reference DRN0887779,28 Jun 2019,Ageas Insurance Limited,Not upheld,,Insurance (excluding PPI)
DRN7410398,decision/DRN7410398.pdf,Decision Reference DRN7410398,28 Jun 2019,Lloyds Bank General Insurance Limited,Not upheld,,Insurance (excluding PPI)
DRN2681130,decision/DRN2681130.pdf,Decision Reference DRN2681130,28 Jun 2019,Liverpool Victoria Insurance Company Limited,Not upheld,,Insurance (excluding PPI)
DRN2451896,decision/DRN2451896.pdf,Decision Reference DRN2451896,28 Jun 2019,AXA Insurance UK Plc,Not upheld,,Insurance (excluding PPI)
DRN8279348,decision/DRN8279348.pdf,Decision Reference DRN8279348,28 Jun 2019,Aviva Insurance Limited,Upheld,,Insurance (excluding PPI)
DRN5097827,decision/DRN5097827.pdf,Decision Reference DRN5097827,28 Jun 2019,Ageas Insurance Limited,Upheld,,Insurance (excluding PPI)
DRN2532572,decision/DRN2532572.pdf,Decision Reference DRN2532572,28 Jun 2019,Lloyds Bank General Insurance Limited,Not upheld,,Insurance (excluding PPI)
DRN8818418,decision/DRN8818418.pdf,Decision Reference DRN8818418,28 Jun 2019,Royal & Sun Alliance Insurance Plc,Not upheld,,Insurance (excluding PPI)
DRN2204623,decision/DRN2204623.pdf,Decision Reference DRN2204623,28 Jun 2019,AXA Insurance UK Plc,Not upheld,,Insurance (excluding PPI)
DRN4376317,decision/DRN4376317.pdf,Decision Reference DRN4376317,28 Jun 2019,Haven Insurance Company Limited,Not upheld,,Insurance (excluding PPI)
DRN3227562,decision/DRN3227562.pdf,Decision Reference DRN3227562,28 Jun 2019,esure Insurance Limited,Upheld,,Insurance (excluding PPI)
DRN3829440,decision/DRN3829440.pdf,Decision Reference DRN3829440,28 Jun 2019,Zurich Insurance PLC,Not upheld,,Insurance (excluding PPI)
DRN8252786,decision/DRN8252786.pdf,Decision Reference DRN8252786,28 Jun 2019,Vitality Health Limited,Not upheld,,Insurance (excluding PPI)
DRN2475085,decision/DRN2475085.pdf,Decision Reference DRN2475085,28 Jun 2019,Great Lakes Insurance SE,Upheld,,Insurance (excluding PPI)
DRN6458108,decision/DRN6458108.pdf,Decision Reference DRN6458108,28 Jun 2019,UK Insurance Limited,Not upheld,,Insurance (excluding PPI)
DRN2730000,decision/DRN2730000.pdf,Decision Reference DRN2730000,28 Jun 2019,British Gas Services Limited,Not upheld,,Insurance (excluding PPI)
DRN5000587,decision/DRN5000587.pdf,Decision Reference DRN5000587,28 Jun 2019,Lloyds Bank General Insurance Limited,Not upheld,,Insurance (excluding PPI)
DRN4654963,decision/DRN4654963.pdf,Decision Reference DRN4654963,28 Jun 2019,Royal & Sun Alliance Insurance Plc,Not upheld,,Insurance (excluding PPI)
DRN2420831,decision/DRN2420831.pdf,Decision Reference DRN2420831,28 Jun 2019,Lloyds Bank General Insurance Limited,Upheld,,Insurance (excluding PPI)
DRN3650054,decision/DRN3650054.pdf,Decision Reference DRN3650054,28 Jun 2019,Ageas Insurance Limited,Not upheld,,Insurance (excluding PPI)
DRN6583093,decision/DRN6583093.pdf,Decision Reference DRN6583093,28 Jun 2019,Acromas Insurance Company Limited,Upheld,,Insurance (excluding PPI)
DRN6019452,decision/DRN6019452.pdf,Decision Reference DRN6019452,28 Jun 2019,Admiral Insurance Company Limited,Not upheld,,Insurance (excluding PPI)
DRN4022728,decision/DRN4022728.pdf,Decision Reference DRN4022728,28 Jun 2019,Amtrust Europe Limited,Upheld,,Insurance (excluding PPI)
DRN8754397,decision/DRN8754397.pdf,Decision Reference DRN8754397,28 Jun 2019,Ageas Insurance Limited,Not upheld,,Insurance (excluding PPI)
DRN7140912,decision/DRN7140912.pdf,Decision Reference DRN7140912,28 Jun 2019,esure Insurance Limited,Not upheld,,Insurance (excluding PPI)
DRN6050773,decision/DRN6050773.pdf,Decision Reference DRN6050773,28 Jun 2019,National House-Building Council,Not upheld,,Insurance (excluding PPI)
DRN5092261,decision/DRN5092261.pdf,Decision Reference DRN5092261,28 Jun 2019,Sabre Insurance Company Limited,Not upheld,,Insurance (excluding PPI)
DRN5662353,decision/DRN5662353.pdf,Decision Reference DRN5662353,28 Jun 2019,Insure The Box Limited,Not upheld,,Insurance (excluding PPI)
DRN7442186,decision/DRN7442186.pdf,Decision Reference DRN7442186,28 Jun 2019,Tesco Underwriting Limited,Upheld,,Insurance (excluding PPI)
DRN9954412,decision/DRN9954412.pdf,Decision Reference DRN9954412,28 Jun 2019,Legal & General Insurance Limited,Upheld,,Insurance (excluding PPI)
DRN1040781,decision/DRN1040781.pdf,Decision Reference DRN1040781,28 Jun 2019,Skyfire Insurance Company Limited,Not upheld,,Insurance (excluding PPI)
DRN6010469,decision/DRN6010469.pdf,Decision Reference DRN6010469,28 Jun 2019,Aviva Insurance Limited,Not upheld,,Insurance (excluding PPI)
DRN5347581,decision/DRN5347581.pdf,Decision Reference DRN5347581,28 Jun 2019,Rock Insurance Services Limited,Upheld,,Insurance (excluding PPI)
DRN8829705,decision/DRN8829705.pdf,Decision Reference DRN8829705,28 Jun 2019,Great Lakes Insurance SE,Upheld,,Insurance (excluding PPI)
