decision_id,location,title,date,company,decision,extras,tag
DRN-3811222,decision/DRN-3811222.pdf,Decision Reference DRN-3811222,31 Dec 2022,Casualty & General Insurance Company (Europe) Ltd,Upheld,,Insurance
DRN-3876431,decision/DRN-3876431.pdf,Decision Reference DRN-3876431,30 Dec 2022,Liverpool Victoria Insurance Company Limited,Not upheld,,Insurance
DRN-3327965,decision/DRN-3327965.pdf,Decision Reference DRN-3327965,30 Dec 2022,Phoenix Life Limited,Not upheld,,Insurance
DRN-3813148,decision/DRN-3813148.pdf,Decision Reference DRN-3813148,30 Dec 2022,Inter Partner Assistance SA,Not upheld,,Insurance
DRN-3875151,decision/DRN-3875151.pdf,Decision Reference DRN-3875151,29 Dec 2022,QIC Europe Ltd,Upheld,,Insurance
DRN-3826148,decision/DRN-3826148.pdf,Decision Reference DRN-3826148,29 Dec 2022,Aviva Insurance Limited,Upheld,,Insurance
DRN-3845246,decision/DRN-3845246.pdf,Decision Reference DRN-3845246,29 Dec 2022,Tesco Underwriting Limited,Upheld,,Insurance
DRN-3875770,decision/DRN-3875770.pdf,Decision Reference DRN-3875770,29 Dec 2022,National House-Building Council,Not upheld,,Insurance
DRN-3875616,decision/DRN-3875616.pdf,Decision Reference DRN-3875616,29 Dec 2022,Covea Insurance plc,Upheld,,Insurance
DRN-3861250,decision/DRN-3861250.pdf,Decision Reference DRN-3861250,29 Dec 2022,Admiral Insurance (Gibraltar) Limited,Not upheld,,Insurance
DRN-3696050,decision/DRN-3696050.pdf,Decision Reference DRN-3696050,28 Dec 2022,Legal and General Assurance Society Limited,Not upheld,,Insurance
DRN-3637753,decision/DRN-3637753.pdf,Decision Reference DRN-3637753,28 Dec 2022,AXA PPP Healthcare Limited,Not upheld,,Insurance
DRN-3822511,decision/DRN-3822511.pdf,Decision Reference DRN-3822511,27 Dec 2022,Cathedral Financial Management Limited,Not upheld,,Insurance
DRN-3822379,decision/DRN-3822379.pdf,Decision Reference DRN-3822379,27 Dec 2022,Cathedral Financial Management Ltd,Not upheld,,Insurance
DRN-3873630,decision/DRN-3873630.pdf,Decision Reference DRN-3873630,23 Dec 2022,Royal & Sun Alliance Insurance Limited,Upheld,,Insurance
DRN-3785069,decision/DRN-3785069.pdf,Decision Reference DRN-3785069,23 Dec 2022,esure Insurance Limited,Not upheld,,Insurance
DRN-3700627,decision/DRN-3700627.pdf,Decision Reference DRN-3700627,23 Dec 2022,Admiral Insurance (Gibraltar) Limited,Upheld,,Insurance
DRN-3831444,decision/DRN-3831444.pdf,Decision Reference DRN-3831444,23 Dec 2022,AXA Insurance UK Plc,Upheld,,Insurance
DRN-3838512,decision/DRN-3838512.pdf,Decision Reference DRN-3838512,23 Dec 2022,Advantage Insurance Company Limited,Upheld,,Insurance
DRN-3717510,decision/DRN-3717510.pdf,Decision Reference DRN-3717510,23 Dec 2022,Aviva Insurance Limited,Not upheld,,Insurance
DRN-3867529,decision/DRN-3867529.pdf,Decision Reference DRN-3867529,23 Dec 2022,U K Insurance Limited,Upheld,,Insurance
