decision_id,location,title,date,company,decision,extras,tag
DRN-2978333,decision/DRN-2978333.pdf,Decision Reference DRN-2978333,30 Sep 2021,Aviva Insurance Limited,Not upheld,,Insurance
DRN-3043729,decision/DRN-3043729.pdf,Decision Reference DRN-3043729,30 Sep 2021,esure Insurance Limited,Upheld,,Insurance
DRN-3032958,decision/DRN-3032958.pdf,Decision Reference DRN-3032958,30 Sep 2021,Ageas Insurance Limited,Not upheld,,Insurance
DRN-3034368,decision/DRN-3034368.pdf,Decision Reference DRN-3034368,30 Sep 2021,Society of Lloyd's,Not upheld,,Insurance
DRN-2260541,decision/DRN-2260541.pdf,Decision Reference DRN-2260541,30 Sep 2021,Legal and General Assurance Society Limited,Not upheld,,Insurance
DRN-2978220,decision/DRN-2978220.pdf,Decision Reference DRN-2978220,30 Sep 2021,Calpe Insurance Company Limited,Upheld,,Insurance
DRN-3045165,decision/DRN-3045165.pdf,Decision Reference DRN-3045165,30 Sep 2021,National Westminster Bank Plc,Not upheld,,Insurance
DRN-3080960,decision/DRN-3080960.pdf,Decision Reference DRN-3080960,30 Sep 2021,Liverpool Victoria Insurance Company Limited,Not upheld,,Insurance
DRN-3067041,decision/DRN-3067041.pdf,Decision Reference DRN-3067041,30 Sep 2021,Soteria Insurance Limited,Upheld,,Insurance
DRN-2964282,decision/DRN-2964282.pdf,Decision Reference DRN-2964282,30 Sep 2021,Soteria Insurance Limited,Not upheld,,Insurance
DRN-2822165,decision/DRN-2822165.pdf,Decision Reference DRN-2822165,30 Sep 2021,AXA PPP Healthcare Limited,Not upheld,,Insurance
DRN-2955678,decision/DRN-2955678.pdf,Decision Reference DRN-2955678,30 Sep 2021,Inter Partner Assistance SA,Not upheld,,Insurance
DRN-3041035,decision/DRN-3041035.pdf,Decision Reference DRN-3041035,30 Sep 2021,HDI Global SE,Not upheld,,Insurance
DRN-3058492,decision/DRN-3058492.pdf,Decision Reference DRN-3058492,30 Sep 2021,Admiral Insurance Company Limited,Upheld,,Insurance
DRN-3058061,decision/DRN-3058061.pdf,Decision Reference DRN-3058061,30 Sep 2021,Assurant General Insurance Limited,Not upheld,,Insurance
DRN-2945403,decision/DRN-2945403.pdf,Decision Reference DRN-2945403,30 Sep 2021,Allianz Global Corporate & Specialty SE,Not upheld,,Insurance
DRN-3070541,decision/DRN-3070541.pdf,Decision Reference DRN-3070541,30 Sep 2021,Liberty Mutual Insurance Europe SE,Not upheld,,Insurance
DRN-3076678,decision/DRN-3076678.pdf,Decision Reference DRN-3076678,30 Sep 2021,U K Insurance Limited,Upheld,,Insurance
DRN-3049314,decision/DRN-3049314.pdf,Decision Reference DRN-3049314,30 Sep 2021,Allianz Insurance Plc,Upheld,,Insurance
DRN-3069389,decision/DRN-3069389.pdf,Decision Reference DRN-3069389,30 Sep 2021,Ecclesiastical Insurance Office Plc,Not upheld,,Insurance
DRN-2945675,decision/DRN-2945675.pdf,Decision Reference DRN-2945675,30 Sep 2021,Great Lakes Insurance SE,Not upheld,,Insurance
DRN-3036703,decision/DRN-3036703.pdf,Decision Reference DRN-3036703,30 Sep 2021,Zenith Insurance plc,Upheld,,Insurance
DRN-2332916,decision/DRN-2332916.pdf,Decision Reference DRN-2332916,30 Sep 2021,HCC International Insurance Company Plc,Not upheld,,Insurance
DRN-2944909,decision/DRN-2944909.pdf,Decision Reference DRN-2944909,30 Sep 2021,Ageas Insurance Limited,Not upheld,,Insurance
DRN-3069706,decision/DRN-3069706.pdf,Decision Reference DRN-3069706,30 Sep 2021,Standard Life Assurance Limited,Upheld,,Insurance
DRN-2960423,decision/DRN-2960423.pdf,Decision Reference DRN-2960423,30 Sep 2021,Aviva Insurance Limited,Not upheld,,Insurance
